65,12,24,92
0,48,31,52
63,90,66,35
13,85,48,76
56,12,50,95
32,23,59,58
84,19,27,50
89,33,27,16
32,40,18,96
86,21,61,40
42,5,78,38
14,36,20,96
25,54,79,0
15,88,37,41
72,4,19,69
47,61,60,33
74,36,80,66
48,27,17,10
62,60,21,77
26,87,59,8
93,97,8,36
76,68,68,19
27,95,41,89
65,60,46,19
93,18,27,1
15,45,3,70
4,92,98,87
0,51,65,6
37,27,96,95
44,61,63,9
8,86,33,32
13,87,60,70
88,16,49,25
63,2,68,60
22,29,78,70
80,85,88,27
2,23,55,9
91,55,83,22
13,33,40,96
64,95,31,78
52,38,25,41
48,96,11,83
31,73,62,7
83,42,59,43
66,14,26,62
66,76,24,31
26,30,90,81
32,63,58,51
14,32,75,34
94,5,27,48
86,57,5,90
23,31,5,14
10,1,20,25
25,23,3,15
74,31,41,47
27,61,65,32
93,37,53,67
29,93,69,59
12,8,38,8
54,82,83,15
73,18,92,65
67,65,70,24
15,57,52,33
23,81,3,49
84,54,12,71
26,14,28,88
64,30,82,84
56,56,90,5
30,20,36,68
65,79,86,7
86,49,11,31
40,54,30,8
31,75,34,70
21,43,18,29
24,88,27,60
53,19,20,65
48,87,30,17
7,52,48,46
9,98,70,7
87,71,77,44
64,16,91,44
56,21,58,88
29,93,52,61
32,44,53,46
95,74,36,7
31,50,98,49
28,3,73,57
50,52,61,73
56,1,31,6
26,35,2,34
88,52,78,61
41,13,94,35
45,32,24,81
0,87,35,96
26,67,40,2
53,38,70,17
15,32,57,42
89,84,6,44
80,32,25,33
62,32,25,66
